,,,bg_slope,bg_intercept,amplitude,Time,center,sigma,fwhm,height
Am,-10,1,-35.28196345456423,2919.5395520428815,63427.787312544664,300.0,8.847354708600482,2.490357441117306,5.864343509491856,10160.801392038189
Am,-10,2,,,350404.77946225385,300.0,32.951022507184405,6.358398313283791,14.972883516086938,21985.299089806344
Am,-110,1,-35.901419667998226,3245.1921611667117,93821.15247781407,300.0,8.82449528950049,2.621340900915888,6.172785980294752,14278.656524632945
Am,-110,2,,,592726.3119514378,300.0,32.60935844776599,6.336885502521501,14.922224719047684,37315.4285439327
Am,-130,1,-10.186018860485365,1593.904294680183,53832.02974205158,300.0,9.066112374038726,2.86510956923133,6.746817315817321,7495.65531091509
Am,-130,2,,,505478.5743180503,300.0,32.50042869571482,6.4374165412379,15.158957219637832,31325.731952772752
Am,-30,1,-31.984322108573366,2738.208941689497,63024.726010950224,300.0,8.927883288635737,2.589749280263215,6.098393400149424,9708.75031930613
Am,-30,2,,,396392.5826211515,300.0,32.8651464024052,6.411191934008394,15.097202990041646,24665.892121397093
Am,-50,1,-26.924904851793627,2360.149976228487,60317.255240155915,300.0,9.125223551834495,2.7693784259523735,6.521387705001168,8688.99111428576
Am,-50,2,,,479134.1263777689,300.0,32.80185492922426,6.483902249646853,15.268422695513403,29480.22086484241
Am,-70,1,-24.34013670124711,2239.812332959207,66360.22143039451,300.0,9.085957301983434,2.8386263967397882,6.684454211570788,9326.306341812578
Am,-70,2,,,534681.7878683318,300.0,32.685627481958974,6.503171877689005,15.313799201019624,32800.48355358957
Am,-90,1,-34.642028303113065,3032.00001867578,87624.07006146794,300.0,8.859127228997806,2.63872346839198,6.213718797838803,13247.673909151872
Am,-90,2,,,545533.3449950574,300.0,32.53697744358623,6.387842014981462,15.042218133718649,34070.399184669455
Am,0,1,-34.55594736969468,2716.856304338434,60679.980398686865,300.0,8.850154084801387,2.5191334271710955,5.9321057769710395,9609.578707941499
Am,0,2,,,340227.53790251486,300.0,32.94912419950189,6.427827218386475,15.136376090400839,21116.179990948473
Am,10,1,-29.445823167024194,2532.0115962788987,60454.10750333989,300.0,8.88504711073523,2.5728706660686718,6.05864730187183,9373.8488334827
Am,10,2,,,340322.8520024489,300.0,32.84145435008213,6.434660324739745,15.152466825903648,21099.665634006546
Am,110,1,-31.87615339243855,2600.134636910132,55027.9061085531,300.0,8.808497502468972,2.495452396910906,5.87634121329374,8797.186215335367
Am,110,2,,,405818.87583361566,300.0,32.40621746517311,6.348303879857463,14.949112942365952,25502.609637538666
Am,130,1,-15.954112369819482,1654.6139533283792,44175.44570067224,300.0,8.979750066210276,2.7075632497940725,6.375824091880078,6508.972195826514
Am,130,2,,,369708.15605819365,300.0,32.29826588081684,6.466341312879892,15.227069850395827,22809.22317119797
Am,30,1,-24.5963098796223,2219.325650591437,50300.45126411698,300.0,9.011284009952558,2.671541439159314,6.290999211761137,7511.385533536568
Am,30,2,,,365908.47222396446,300.0,32.78111018867697,6.445225374833659,15.177345617165798,22648.7607506327
Am,50,1,-17.059156914043136,1848.0796635735621,43844.77762022413,300.0,9.160997976430735,2.758258785289028,6.495202952774309,6341.5139000338095
Am,50,2,,,389542.9646757957,300.0,32.61375360620626,6.45154766256714,15.192233466766355,24088.0443584514
Am,70,1,-13.011408788944841,1603.2464388761593,48560.81334223077,300.0,9.150174541141398,2.895906704510799,6.81933902591612,6689.774409667274
Am,70,2,,,397191.9422536858,300.0,32.451203676621816,6.468350298965956,15.231800651011014,24497.23030762323
Am,90,1,-26.199197568548684,2272.74474811185,53861.50585566827,300.0,8.875212121848701,2.5890908899948974,6.096843009577785,8299.296525494367
Am,90,2,,,385164.7859121216,300.0,32.35963589390146,6.3849208342286135,15.035339278858224,24065.846634628393
Ba,-10,1,-2.0711981289797454,617.0249311601269,8961.963094657349,300.0,182.6179286973341,13.437817400887743,31.64364117195848,266.06301178504816
Ba,-10,2,,,35913.72820916561,300.0,223.52461813706063,16.07373877994852,37.85076155379838,891.3610908752927
Ba,-110,1,-3.3187289708928938,971.3575985074069,17339.575565522602,300.0,179.53161614209645,12.891526666391108,30.35722482455111,536.5920062181348
Ba,-110,2,,,75369.60792205475,300.0,221.2209504694493,16.829606021228393,39.63069285090905,1786.6208333454542
Ba,-130,1,-4.281531008048798,1236.622007483665,20100.59915666063,300.0,179.87469805945588,13.588139230675473,31.99762202317922,590.1455028392159
Ba,-130,2,,,80182.10706436435,300.0,221.14803656468618,16.804426771793654,39.57140025075513,1903.5480737013831
Ba,-30,1,-2.220580928851051,661.6386608111368,10433.308228021424,300.0,182.55038799693926,13.987154743519676,32.93723173313501,297.5793188406815
Ba,-30,2,,,39496.49269098473,300.0,223.56932443321594,16.092097236166534,37.89399241366968,979.1652017029593
Ba,-50,1,-2.764973554670809,806.3941208629395,10158.05766417483,300.0,180.8486924057704,11.655792276597472,27.44729276877726,347.6794019583818
Ba,-50,2,,,49074.15584799289,300.0,222.44349409154313,16.740770508558782,39.42150120896439,1169.4656822723623
Ba,-70,1,-2.582920525476078,762.1074732933342,13461.045599671554,300.0,179.6718346501658,12.592805701381288,29.653790721726686,426.4482927223122
Ba,-70,2,,,58665.585753417625,300.0,221.70998533082266,17.04593157319052,40.1401005871805,1373.0070199346142
Ba,-90,1,-3.0250339241580466,882.6185247055679,13338.141104170572,300.0,179.38252214093853,12.351334767035357,29.085170136110204,430.8156802634832
Ba,-90,2,,,64945.25555850184,300.0,221.18609562257274,16.92961199806253,39.86618892527761,1530.4195766306784
