,,,bg_slope,bg_intercept,amplitude,Time,center,sigma,fwhm,height
Am,-10,1,-0.25619646714396294,426.1424439230535,903.135043097027,1.22,1648.0351971657185,6.582791790257241,15.501289763533558,54.733429642569234
Am,-30,1,-0.20469222040807533,340.663898803495,917.2291039644274,1.2,1647.7105524070314,6.7821365148898165,15.970710707992838,53.95371909119594
Am,-50,1,-0.18276002089587418,303.81311684730537,727.0528210450154,0.92,1648.2149769947273,6.3050715344408665,14.847308550732043,46.002987129456685
Am,-70,1,0.07064125597998575,-109.91369066672999,518.9536872480514,0.34,1472.9275528199223,387.60183740733487,912.7325587635404,0.5341372449858787
Am,-90,1,-0.0791980176418768,131.7212591668229,88.09415846664743,0.2,1647.6435063761294,7.091828261682053,16.699979027174134,4.955631312328644
Am,0,1,-0.25387577994971033,423.70202637494975,825.9726401106866,1.12,1647.712331688023,6.080690704020796,14.318932083642252,54.190459739210354
Am,10,1,-0.27498907411141976,458.5257265271073,817.8302418671377,1.22,1647.772862415264,6.08790070054154,14.335910327649229,53.59270687036825
Am,110,1,-0.07241871659160203,120.88310555124792,95.58844088563751,0.26,1644.4421761786405,7.72410366601461,18.188873794804525,4.9370482465321865
Am,130,1,-0.08931221575411702,149.08730758259043,37.32917914787075,0.2,1645.6282040065635,2.2706058458980234,5.346868058037583,6.55868503697688
Am,30,1,-0.2792562130918662,463.3439803995948,892.1450551084919,1.18,1648.154867533835,7.267354029039481,17.11331061466275,48.97441335545468
Am,50,1,-0.25392567244163017,421.11605050728417,768.600356659733,1.06,1648.0726924748521,7.332615682739011,17.266990062027478,41.81689145231696
Am,70,1,0.09433552429699997,-143.9280451555758,715.000941452898,0.52,940.9354183515904,2021.8738809874455,4761.1490524268565,0.14107908646907125
Am,90,1,-0.0886355457140647,146.96993891545884,193.379693559962,0.26,1646.1969629326861,8.5855060269607,20.217321302407598,8.985765018374446
Ba,-30,1,0.05332447338413793,-38.89736611314685,1030.9769425521383,0.6,887.6288143573971,1730.5798498920872,4075.204042122885,0.23766618612505236
Ba,-30,2,,,1030.9769425521386,0.6,887.6288143573976,1730.5799716051383,4075.204328735212,0.2376661694098025
Ba,-60,1,-0.002287669625913755,2.0049373450695365,95.8035557646458,0.3,817.543180606808,25.163600158257825,59.255748924668694,1.5188641785974148
Ba,-60,2,,,314.06127931444996,0.3,856.5804592789871,7.596040662208271,17.88730847218128,16.494425804485484
Ba,-90,1,0.0009624889265417124,-0.6270591742069159,13.100402163095795,0.15,809.4577424924591,27.54103456204635,64.85417900739799,0.1897642791194438
Ba,-90,2,,,7.416905939303344,0.15,848.8688022372836,2.387224886525193,5.621484907287256,1.2394800050096204
Ba,0,1,-0.03158547257831667,19.108500764726635,660.4172552979437,0.4,856.5746721819719,6.782846090073372,15.972381629826579,38.84333733796971
Ba,0,2,,,2556.028261866899,0.4,855.568367841211,103.80619249118338,244.44489820208847,9.823188474433163
Ba,30,1,0.0593654424952907,-42.94074418117738,982.3398372707084,0.6,801.8305885498761,2099.9432186553154,4944.98829015391,0.18662262416473846
Ba,30,2,,,982.3398372707084,0.6,801.8305885498758,2099.943218655316,4944.988290153911,0.18662262416473843
Ba,60,1,0.03309851166327472,-23.920718283660896,632.4611164261521,0.4,823.9130019881586,1218.9278250677899,2870.355621026133,0.20699789377076905
Ba,60,2,,,632.4612292964055,0.4,823.9129428420082,1218.92782506779,2870.3556210261336,0.2069979307120198
Ba,90,1,0.00020299477179650045,-0.2709391107836311,67.32267511069301,1.259187,706.6118135932303,195.56896756904325,460.52971621093445,0.13733192532875024
Ba,90,2,,,0.0,1.259187,825.0,12.333333333333334,29.042780000000004,0.0
