,,,bg_slope,bg_intercept,amplitude,Time,center,sigma,fwhm,height
Am,-100,1,-978.9813162093517,28249.223334918974,179598.49128946796,200.0,22.612261497966625,2.347478793109949,5.52789001159117,30521.86686493081
Am,-120,1,-1271.3298394182361,36505.139501507576,188901.00971181883,200.0,22.54374001910533,2.325014858259647,5.474991488526982,32412.955564148666
Am,-140,1,-1318.4376223374602,38574.457238070005,159779.13369320563,200.0,22.64796546170524,2.3621321912976865,5.562396126711619,26985.21925335457
Am,-20,1,-115.50790895359557,5916.369261722141,131898.2078474057,200.0,23.221917384656965,2.2767028152679925,5.361225323449374,23112.271857198088
Am,-40,1,-212.84096016231095,8689.507080517138,136703.20306287493,200.0,23.14026358196545,2.285345403380688,5.381577062788912,23863.65324322302
Am,-60,1,-391.58786692296155,13263.739524829285,149142.33949204962,200.0,22.960114480210965,2.329673229506603,5.48596111430674,25539.713978230466
Am,-80,1,-659.1318477101979,19751.663537698576,159727.948277553,200.0,22.75833289982402,2.37013500636771,5.581241315694811,26885.487488657418
Am,0,1,-110.86238230493088,5869.657547506274,131387.6377677593,200.0,23.228628161821977,2.233158307277238,5.258685845142586,23471.72891049748
Am,100,1,-715.1076412588611,20673.05539650599,183510.50913852183,200.0,22.338349359753487,2.21485281362738,5.2155797025860275,33054.1623982647
Am,120,1,-849.3724433367012,24572.460446076442,178867.88267421728,200.0,22.40285131777977,2.166803080008686,5.102431228866054,32932.37173628918
Am,140,1,-739.8913446899071,21999.25736262833,119963.83479950254,200.0,22.499294814181514,2.280173357752825,5.369397826303508,20989.039280285087
Am,20,1,-147.48197346451096,6584.8004764830675,130845.05978694577,200.0,23.16530557277181,2.2233164105755554,5.235509949951529,23478.272749099448
Am,40,1,-262.73447989664885,9425.765968439728,139311.31823236536,200.0,22.983637064550425,2.2487740843553183,5.295458189321591,24714.433565515195
Am,60,1,-432.2581147878163,13808.229408263713,147053.19382411797,200.0,22.741781203946182,2.2266607986339886,5.243385381839289,26346.958370367716
Am,80,1,-611.5891938508779,18214.377453470697,158370.07003565453,200.0,22.475486731370314,2.2242954994162005,5.237815527935258,28404.733097633733
Ba,-110,1,-25.56928898649345,4705.227428692917,33064.99043350276,1000.0,103.72123889329775,6.287428036103093,14.805761287976287,2097.999890778122
